work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0105AhwasAnsari.Diwan,ديوان الأحوص,Diwan,NULL,0105AhwasAnsari,الأحوص,Ahwas Ansari,0105,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0105KuthayyirCazza.Diwan,ديوان كثير عزة,Diwan,NULL,0105KuthayyirCazza,كثير عزة,Kuthayyir Cazza,0105,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0110Farazdaq.Diwan,ديوان الفرزدق,Diwan,NULL,0110Farazdaq,الفرزدق,Farazdaq,0110,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0110HasanBasri.FadailMakka,فضائل مكة,Faḍāʾil Makkaŧ,NULL,0110HasanBasri,الحسن البصري,Hasan Basri,0110,C-الحديث النبوي,الحديث,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0110HasanBasri.TarghibMakka,الترغيب في الإقامة بمكة للحسن البصري,Targhib Makka,NULL,0110HasanBasri,الحسن البصري,Hasan Basri,0110,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,Muntakhab Kalam Fi Tafsir Ahlam,NULL,0110IbnSirin,ابن سيرين,Ibn Sirin,0110,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0110JarirShacir.Diwan,ديوان جرير,Diwan,NULL,0110JarirShacir,جرير,Jarir Shacir,0110,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0117DhuRumma.Diwan,ديوان ذو الرمة,Diwan,NULL,0117DhuRumma,ذو الرمة,Dhu Rumma,0117,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,Nasikh Wa Mansukh,NULL,0117IbnDicamaSadusi,قتادة بن دعامة بن قتادة السدوسي أبو الخطاب,Ibn Dicama Sadusi,0117,B-التفسير,التفسير,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0122ZaydIbnCali.MajmucRasail,مجموع رسائل الإمام زيد بن علي عليهم السلام,Majmuc Rasail,NULL,0122ZaydIbnCali,زيد بن علي بن الحسين بن علي بن أبي طالب,Zayd Ibn Cali,0122,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0122ZaydIbnCali.MansikHajj,منسك الحج والعمرة للإمام زيد (ع),Mansik Hajj,NULL,0122ZaydIbnCali,زيد بن علي بن الحسين بن علي بن أبي طالب,Zayd Ibn Cali,0122,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0122ZaydIbnCali.Musnad,مسند,Musnad,NULL,0122ZaydIbnCali,زيد بن علي بن الحسين بن علي بن أبي طالب,Zayd Ibn Cali,0122,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0122ZaydIbnCali.TafsirGharibQuran,غريب القرآن,Tafsir Gharib Quran,NULL,0122ZaydIbnCali,زيد بن علي بن الحسين بن علي بن أبي طالب,Zayd Ibn Cali,0122,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0124IbnShihabZuhri.TanzilQuran,تنزيل القرآن,Tanzil Quran,NULL,0124IbnShihabZuhri,ابن شهاب الزهري,Ibn Shihab Zuhri,0124,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0125NabighaShaybani.Diwan,ديوان النابغة الشيباني,Diwan,NULL,0125NabighaShaybani,النابغة الشيباني,Nabigha Shaybani,0125,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0125Tirimmah.Diwan,ديوان الطرماح,Diwan,NULL,0125Tirimmah,الطرماح,Tirimmah,0125,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0126KumaytIbnZaydAsadi.Rawda,الروضة المختارة (شرح القصائد الهاشميات),Rawda,NULL,0126KumaytIbnZaydAsadi,كميت بن زيد الأسدي,Kumayt Ibn Zayd Asadi,0126,D-السيرة النبوية,السيرة,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0128IbnAbiHabibMisri.AhadithYazid,أحاديث يزيد بن أبي حبيب المصري,Ahadith Yazid,NULL,0128IbnAbiHabibMisri,يزيد بن أبى حبيب سويد الأزدى أبو رجاء المصرى مولى شريك بن الطفيل الأزدى (المتوفى: 128هـ),Ibn Abi Habib Misri,0128,C-الحديث النبوي,الحديث,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
