duplicate_group_id,work_id,reason,digital_version_ids,count
openiti:0175LaythIbnSacd.MajlisMinFawaid,0175LaythIbnSacd.MajlisMinFawaid,Multiple OpenITI digital versions of one work,0175LaythIbnSacd.MajlisMinFawaid.JK000863-ara1 | 0175LaythIbnSacd.MajlisMinFawaid.Shamela0009812-ara1,2
openiti:0179MalikIbnAnas.Muwatta,0179MalikIbnAnas.Muwatta,Multiple OpenITI digital versions of one work,0179MalikIbnAnas.Muwatta.JK000466-ara1 | 0179MalikIbnAnas.Muwatta.ShamAY0033921-ara1 | 0179MalikIbnAnas.Muwatta.ShamAY0033922-ara1 | 0179MalikIbnAnas.Muwatta.ShamAY0033923-ara1 | 0179MalikIbnAnas.Muwatta.ShamAY0033991-ara1 | 0179MalikIbnAnas.Muwatta.Shamela0001699-ara1 | 0179MalikIbnAnas.Muwatta.Shamela0008140-ara1 | 0179MalikIbnAnas.Muwatta.Shamela0016050-ara1 | 0179MalikIbnAnas.Muwatta.Shamela0028107-ara1 | 0179MalikIbnAnas.Muwatta.Shia000901Vols-ara1,10
openiti:0180AbuShamaqmaq.Diwan,0180AbuShamaqmaq.Diwan,Multiple OpenITI digital versions of one work,0180AbuShamaqmaq.Diwan.JK007542-ara1 | 0180AbuShamaqmaq.Diwan.ShamAY0037964-ara1,2
openiti:0180IbnJacfarAnsari.HadithIsmacil,0180IbnJacfarAnsari.HadithIsmacil,Multiple OpenITI digital versions of one work,0180IbnJacfarAnsari.HadithIsmacil.JK011499-ara1 | 0180IbnJacfarAnsari.HadithIsmacil.Shamela0021544-ara1,2
openiti:0180Sibawayhi.KitabSibawayhi,0180Sibawayhi.KitabSibawayhi,Multiple OpenITI digital versions of one work,0180Sibawayhi.KitabSibawayhi.JK006989-ara1 | 0180Sibawayhi.KitabSibawayhi.Shamela0023018-ara1,2
openiti:0181IbnMubarak.Diwan,0181IbnMubarak.Diwan,Multiple OpenITI digital versions of one work,0181IbnMubarak.Diwan.JK007552-ara1 | 0181IbnMubarak.Diwan.ShamAY0037918-ara1 | 0181IbnMubarak.Diwan.ShamAY0037919-ara1,3
openiti:0181IbnMubarak.Jihad,0181IbnMubarak.Jihad,Multiple OpenITI digital versions of one work,0181IbnMubarak.Jihad.JK000549-ara1 | 0181IbnMubarak.Jihad.ShamAY0033534-ara1 | 0181IbnMubarak.Jihad.ShamAY0033661-ara1 | 0181IbnMubarak.Jihad.Shamela0003610-ara1 | 0181IbnMubarak.Jihad.Shia001880-ara1,5
openiti:0181IbnMubarak.Musnad,0181IbnMubarak.Musnad,Multiple OpenITI digital versions of one work,0181IbnMubarak.Musnad.JK000568-ara1 | 0181IbnMubarak.Musnad.Shamela0023101-ara1 | 0181IbnMubarak.Musnad.Shia001881-ara1,3
openiti:0181IbnMubarak.Zuhd,0181IbnMubarak.Zuhd,Multiple OpenITI digital versions of one work,0181IbnMubarak.Zuhd.JK000055-ara1 | 0181IbnMubarak.Zuhd.JK006954-ara1 | 0181IbnMubarak.Zuhd.Shamela0013028-ara1,3
openiti:0182AbuYusufYacqub.Athar,0182AbuYusufYacqub.Athar,Multiple OpenITI digital versions of one work,0182AbuYusufYacqub.Athar.JK000681-ara1 | 0182AbuYusufYacqub.Athar.Shamela0012987-ara1,2
openiti:0182AbuYusufYacqub.Kharaj,0182AbuYusufYacqub.Kharaj,Multiple OpenITI digital versions of one work,0182AbuYusufYacqub.Kharaj.ShamAY0034334-ara1 | 0182AbuYusufYacqub.Kharaj.Shamela0026333-ara1,2
openiti:0182AbuYusufYacqub.RaddCalaSiyarAwzaci,0182AbuYusufYacqub.RaddCalaSiyarAwzaci,Multiple OpenITI digital versions of one work,0182AbuYusufYacqub.RaddCalaSiyarAwzaci.JK000389-ara1 | 0182AbuYusufYacqub.RaddCalaSiyarAwzaci.Shamela0007225-ara1,2
openiti:0182MarwanIbnAbiHafsa.Diwan,0182MarwanIbnAbiHafsa.Diwan,Multiple OpenITI digital versions of one work,0182MarwanIbnAbiHafsa.Diwan.JK007561-ara1 | 0182MarwanIbnAbiHafsa.Diwan.ShamAY0037859-ara1,2
openiti:0189MuhammadShaybani.Asl,0189MuhammadShaybani.Asl,Multiple OpenITI digital versions of one work,0189MuhammadShaybani.Asl.JK000267-ara2 | 0189MuhammadShaybani.Asl.Sham19Y0014285-ara1 | 0189MuhammadShaybani.Asl.Shamela0006164-ara2,3
openiti:0189MuhammadShaybani.Athar,0189MuhammadShaybani.Athar,Multiple OpenITI digital versions of one work,0189MuhammadShaybani.Athar.JK011277-ara1 | 0189MuhammadShaybani.Athar.Shamela0001332-ara1,2
